Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 100.0.4896.127,,,2022-05-04 03:48:47,2022-05-04 03:53:08,4m - 21.336s,PASSED
,,,,,,,
Test Cases/TestCase-ViewDashboard-1,Chrome 100.0.4896.127,,,2022-05-04 03:50:10,2022-05-04 03:50:51,40.939s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-04 03:50:10,2022-05-04 03:50:13,2.560s,PASSED
"navigateToUrl(""https://nk-gke-test.gcp.workmap.ai/#/signIn"")",Chrome 100.0.4896.127,,,2022-05-04 03:50:13,2022-05-04 03:50:21,8.121s,PASSED
"setText(findTestObject(""Object Repository/Page_Workmap/input_Sign in_normal_login_username""), ""pankajunk@gmail.com"")",Chrome 100.0.4896.127,,,2022-05-04 03:50:21,2022-05-04 03:50:22,1.204s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Workmap/input_Sign in_normal_login_password""), ""Piu45nT0PQ8="")",Chrome 100.0.4896.127,,,2022-05-04 03:50:22,2022-05-04 03:50:23,0.896s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/button_Log in""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:23,2022-05-04 03:50:23,0.646s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Go to app""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:23,2022-05-04 03:50:26,2.029s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/main_Home TestingPatient Onboarding FormThi_793582""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:26,2022-05-04 03:50:28,2.188s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/i_SA_custom-svg-icon""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:28,2022-05-04 03:50:28,0.664s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Go to app_1""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:28,2022-05-04 03:50:30,1.163s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/i_SA_custom-svg-icon""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:30,2022-05-04 03:50:32,2.026s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/svg""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:32,2022-05-04 03:50:33,1.115s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/div_PoC Testing""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:33,2022-05-04 03:50:33,0.642s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Testing Queue""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:33,2022-05-04 03:50:35,1.218s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/i_Automation_mdi mdi-chart-arc""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:35,2022-05-04 03:50:37,2.016s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/button_Positive Patients this Week""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:37,2022-05-04 03:50:38,1.650s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/li_Positive Patients""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:38,2022-05-04 03:50:39,0.798s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/button_Positive Patients""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:39,2022-05-04 03:50:40,1.110s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/span_Tested Patients""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:40,2022-05-04 03:50:41,0.791s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/span_Home Testing""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:41,2022-05-04 03:50:42,1.508s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Tests""))",Chrome 100.0.4896.127,,,2022-05-04 03:50:42,2022-05-04 03:50:43,0.847s,PASSED
